info,zona,precio,referencia,descripcion,titulo,telefono
Casas|5 o más dorms.|3 o más baños|395 m²|1.080 m²|3 o más garajes, Mariano Roque Alonso,U$S 175.000,"('Ref.:\n46C97',)","DescripciónA solo 17 min del eje comercial de Asunción, con excelentes accesos, a 2 cuadras del acceso Aeropuerto Silvio Pettirossi a Mariano Roque Alonso, y a solo 3 cuadras de la Ruta Transchaco, en el Barrio La Concordia, amplia como ya pocas y con materiales de primera calidad y muy finos, con un estilo americano que enamora.Construido en 768 m², todo en planta baja, 3 habitaciones todas ensuite, la principal; con vestidor amplio y ducha con espacio preparado para tina. Escritorio, baño social, sala comedor muy amplia, cocina Tipo isla separada con un bello desayunador de mármol, todos los muebles hechos de madera maciza. Estilo Americano.Garage techado para 4 vehículos, Además un área de Servicio con 2 habitaciones y tendedero, Jardín trasero con acceso a la calle.Inversion: 175.000 Usd.Agenda visita al *** -630Msj directo al whatsapp aqui➡️???? ***",Vendo Hermosa Y Gran Casa En M.r.a. A 10 Minutos Del Aeropuerto De Asunción. Ref. #46C97 - InfoCasas.com.py,0972128630 Casa central
,,,"('',)","DescripciónHERMOSA RESIDENCIARecientemente remodelada - lista para mudarse(no precisa ningún mantenimiento o gasto)Le gustará mucho conocer esta encantadora residencia, emplazada sobre un gran terreno de 12m de frente por 50m de fondo. Se trata de 600 m2, con un hermoso jardín y mucho verde. Posee casi 300m2 cubiertos, distribuidos en dos plantas.Cocina de ensueño, moderna y equipada. (Achon, LG, Tekat)Ambientes amplios, integrados entre sí, con una circulación fluida y muy cómoda.Excelente iluminación natural y muy buena ventilación (todos los ambientes dan al exterior).Ubicada en el Barrio Kennedy, en el límite entre Lambaré y Asunción. Barrio tranquilo (alto, no se inunda), calle empedrada (a media cuadra del asfalto). A una cuadra de Av. Cacique y cuatro de Av. Perón. Excelente acceso, cerca de colegios, medios de transporte y comercios.En planta baja:Garaje para tres autosHall recibidorOficinaBaño socialAmplio livingCocina y comedor diario integradoLavaderoDormitorio de servicioBaño de servicioAmplia galería cubierta con sector de parrillas incorporado.Patio y JardínEn planta alta:Master suite con balcón privado, vestidor y baño en suite (con jardín interno)Un dormitorio en suite, con baño privado completo y vestidor.Un dormitorio en suite con balcón privado, baño y vestidAdquiera su propiedad de:3 dormitorios de lujo● USD 268.000
BalcónCocheraBarbacoaPortón EléctricoDepósito","Proyecto Residencia en Lambaré - Central, Lambaré",
Terrenos|3.706 m², Ypacaraí,Gs. 350.000.000,"('Ref.:\nE37B2',)","DescripciónSe Vende propiedad de 3.706m2
Medidas 54,5m x 68m en YPACARAÍA 400m del Centro de Salud del Centro de Ypacaraí sobre asfalto que une a la ruta Itauguá- Pirayú
*Terreno sin construcción cerrado en los 4 lados con postes de hormigón y malla metálica, portón de acceso.
* Ideal para cualquier tipo de emprendimiento, cancha de fútbol, depósito de materiales, casa quinta...",Terreno Sobre Asfalto 3.706m2 Ypacarai. Ref. #E37B2 - InfoCasas.com.py,0213382826 Casa central
Terrenos|3.714 m², Itauguá,Gs. 450.000.000,"('Ref.:\n33BD8',)","DescripciónLa propiedad esta ubicada en la localidad de Patiño, a una cuadra de la ruta Aregua Ypacarai.Zona en continuo desarrollo y crecimiento.El terreno cuenta con una superficie de 3714 m2. con cercado perimetral y salida de calle a calleApto para agricultura, casa quinta o loteamiento.Toda la información proporcionada por el Listing del Agente/Broker se considera confiable pero no garantizada y debe ser verificada de forma independiente, no se realizan garantías o representaciones de cualquier tipo.",Oferta Hermoso Terreno En Itaugua-aregua Zona Cerro Patiño. Ref. #33BD8 - InfoCasas.com.py,021664579 Casa central
Casas|3 dorms.|3 o más baños|253 m²|3 o más garajes, Luque,Gs. 450.000.000,"('Ref.:\n44738',)",,Casa En Luque. Ref. #44738 - InfoCasas.com.py,021664579 Casa central
Casas|3 dorms.|2 baños|240 m²|360 m²|3 o más garajes, Ñemby,Gs. 550.000.000,"('Ref.:\n13A90',)","DescripciónA 500 mts de la Av. Acceso Sur y de la Av. colonia Elisa, cercanos a hospitales, centros educativos, supermercados.Cuenta con 3 habitaciones, una de ellas en planta baja, 2 baños, sala estar social, sala estar familiar, cocina amoblada y comedor integrado.240 m2 construido con un estilo único tipo fen shui, con detalles rústicos y finos. galería techada y quincho con parrilla amoblada, deposito y amplio jardín que le da un toque de frescura sin igual.Cochera techada con capacidad de hasta 5 vehículos.Terreno de 15 x 24, rodeado totalmente con cerco eléctrico y con cámaras de seguridad de circuito cerrado.",Vendo Hermosa Casa En ñemby A Pasos De Acceso Sur Y Paresa Coca-cola. Ref. #13A90 - InfoCasas.com.py,0213386687 Casa central
Terrenos|360 m², Mariano Roque Alonso,Gs. 350.000.000,"('Ref.:\n7C108',)","Descripción¡DE OPORTUNIDAD! Terreno en venta con superficie de 360 Mts2 medidas 12x30 mts. La misma se encuentra ubicada en el barrio La Concordia de la ciudad de Mariano Roque alonso, a pocas cuadras de la Ruta Transchaco. Dispone de servicio de agua corriente y luz en puerta y cámara séptica. La construcción a terminar esta al 50% preparada para una casa de 3 habitaciones 1 en suite con baño privado y otras dos con baño compartido. sala, comedor, cocina, patio de frente y de fondo, tiene un anexo al fondo a refaccionar con baño privado, estacionamiento para 3 vehículos. Ubicada en zona residencial de alto crecimiento sobre calle encementada a metros de empedrado y 2 cuadras de asfaltado que conecta con las principales vías de acceso de Mariano. se acepta vehículos o terrenos como parte de pago con posibilidad de financiación propia según acuerdo. Se escuchan propuestas. *** ",Vendo Terreno En Mariano Roque Alonso. Ref. #7C108 - InfoCasas.com.py,021664579 Casa central
Casas|4 dorms.|3 o más baños|216 m²|370 m²|3 o más garajes, Ñemby,U$S 170.000,"('Ref.:\nCB173',)","DescripciónResidencia ubicada a 2 cuadras de Acceso Sur, en la ciudad de Ñemby, Barrio Villa del Sur.La casa cuenta con:Planta Baja-     Hall de entrada-     Sala-     Comedor Principal-     Baño Social-     Cocina-     Oficina-     Area de Servicio con Baño propio-     Deposito-     Lavadero-     Quincho con Parrilla-     Estacionamiento hasta para 6 vehiculosPlanta Alta-     Estar-     1 Dormitorio con vestidor en Suite-     2 Dormitorios con un baño compartidoOBS: Todos los ambientes poseen AAEn el precio ya se incluyen todos los muebles.***",Vendo Amplia Residencia Totalmente Amoblada. Ref. #CB173 - InfoCasas.com.py,021664579 Casa central
Casas|3 dorms.|1 baño|180 m²|360 m²|3 o más garajes, Luque,Gs. 330.000.000,"('Ref.:\n08658',)","DescripciónExcelente ubicación a 300 mts de la Avda. Cap. Andrés Infran y Britez Borges, a 8 min de la nueva Avda. Laguna Grande, inmediaciones de Inverfin y la Comisaria 50 Central de Luque. Linda casa en 360 m², sala estar familiar, 3 habitaciones, comedor, cocina y amplia galería trasera con quincho techado, además tiene un área de lavadero techada y 1 habitación que puede ser deposito o de servicio. Amplio patio con árboles frutales, garaje para 3 vehiculos (+) y portón eléctrico.Agende su visita al ***",Vendo Casa En Laurelty Luque Zona Fabrica Taiga. Ref. #08658 - InfoCasas.com.py,0972128630 Casa central
Dúplex|4 Ambs.|3 o más baños|145 m²|168 m²|2 garajes, Lambaré,U$S 115.000,"('Ref.:\nA00B0',)","DescripciónHermosos duplex a estrenar en lambare pegado al colegio SEK, fina terminacionDuplex esquina uss. 130.000 terreno 195 m2 construido 165 m2, pegado a la esquina uss 115.000 terreno 168 m2 construido 145",Duplex En Lambare Pegado Al Colegio Sek. Ref. #A00B0 - InfoCasas.com.py,02121379009814270290983999998 Casa central|021-3284900 Y 0983-999998 CIUDAD DEL ESTE |021-3284900 Y 0983-999998 CIUDAD DEL ESTE 
Terrenos|720 m², Lambaré,U$S 100.000,"('Ref.:\n3A11F',)","DescripciónEN VENTA 2 TERRENOS JUNTOS100,000 USD  CONTACTOS: nvega@*** .pyTotal Mts²720Sup. Lote:12x60Sup. Lote (m²):720A dos cuadras de la avenida Argaña. Sobre José Falcón, son 2 terrenos juntos, uno detrás de otro, en barrio de residencias nuevas, dúplex nuevos etc. El terreno está sin construcción, ideal para vivienda o dúplex amplios.#16",Vendo Terreno En Lambare. Ref. #3A11F - InfoCasas.com.py,021664579 Casa central
Terrenos|360 m², Itá,Gs. 355.000,"('Ref.:\n7FD7B',)","Descripciónterrenos en 130 cuotas sin reajuste, 360 m2 de superficie, a 1,5 km de la ruta 1, en el limite de ita y yaguaron, calle a asfaltarse, luz electrica y transporte publico en el loteamiento","Ita Fraccion Yeruti Cerca De Ruta 1, Sobre Calle A Asfaltarse. Ref. #7FD7B - InfoCasas.com.py",02121379009814270290983999998 Casa central|021-3284900 Y 0983-999998 CIUDAD DEL ESTE |021-3284900 Y 0983-999998 CIUDAD DEL ESTE 
Terrenos|369 m², Luque,Gs. 345.000.000,"('Ref.:\n61459',)","DescripciónATENCIÓN INVERSIONISTAS!VENDO terreno ideal para la construcción de Dúplex a pasos de Rakiura! *** Gs.A 15 minutos del Pase Carmelitas y el WTC, a 300 mts de la Avda America y solo 2 minutos de Jardin de Oro, facil Acceso a la Autopista Silvio Pettirossi, Aeropuerto, Ñu Guazu y el centro de Luque.Barrio Residencial, a escasas cuadras del Panamerican School y el Garden Club, en una zona tranquila de Luque y a muy pocos minutos del nuevo eje comercial financiero de Asunción.La propiedad cuenta con 369m2. (15,90 x 26,84)",Vendo Terreno En Esquina A Pasos De Rakiura Y Jardin De Oro. Ref. #61459 - InfoCasas.com.py,0972128630 Casa central
,,,"('',)","DescripciónTAVA Defensores es un condominio residencial conformado por dos torres, unidas por un núcleo interconector. La torre delantera está conformada por 24 unidades de departamentos y el segundo bloque por 42 departamentos. TAVA Defensores es el primer desarrollo de viviendas de la zona, desarrollado en un terrero de 943,90 m², que combina arquitectura de vanguardia, jardines internos, seguridad y bajos costos comunes. El proyecto El condominio residencial TAVA Defensores, el primero de un programa de viviendas económicas dirigido a la clase media. TAVA además busca aportar a la ciudad de una visión distinta del concepto actual de ciudad dormitorio, permitiendo arraigo con calidad de vida a través de proveer unidades funcionales a precios adecuados. El edificio posee 66 departamentos de 2 dormitorios que van desde los 76,5 m² a los 85 m² totales. Cuenta con 6 plantas de departamentos: 11 departamentos por planta. 40 plazas de estacionamiento, PB con recepción. 2 ascensores de alta velocidad. Entorno En el corazón de San Lorenzo, se viene forjando una importante transformación que promete crear una nueva dinámica en el casco de la ciudad en beneficio de toda la comunidad y colocar de nuevo a la ciudad en su legítima posición como una de las más prósperas del cono urbano. TAVA Defensores está ubicado a tan solo 5 cuadras de la Catedral, sobre las calles Defensores del Chaco y Mario Meyer, en una de las ubicaciones mejor conectadas con más de 28 rutas de transporte público en un radio de 5 cuadras.  Precio desde USD 53.000 Ofrecemos financiación propia hasta la entrega de la unidad y financiación bancaria con los distintos bancos de plaza.  
● Fecha de Entrega: Octubre 2018
","Proyecto TAVA Defensores - Central, San Lorenzo",
Departamentos|2 dorms.|1 baño|40 m²|1 garaje, Fernando de la Mora,Gs. 345.000.000,"('Ref.:\n9D368',)","DescripciónEdificio ZUBAUbicado sobre la calle 1 de Marzo a metros de Eusebio AyalaEntrega Abril 2019Sala, comedor, cocinaDos dormitoriosUn bañoEl edificio esta ubicado a inmediaciones del supermercado el pueblo, a una cuadra de la Municipalidad de Fernando de la MoraDescripción de la Ubicación. Eusebio AyalaMedalla Milagrosaincluye 1 cochera",Departamento De Dos Dormitorios A Metros De Eusebio Ayala. Ref. #9D368 - InfoCasas.com.py,0971492181 Casa central
Tinglado o Depósito|2 Ambs.|1 baño, Lambaré,U$S 450.000,"('Ref.:\nAF8D1',)","DescripciónDirección: Bernardino Caballero esq. Silvio Pettirossi ubicado sobre asfalto.SUPERFICIE TERRENO 832M2 26X32
PRECIO: 480.000 USD
CONTACTOS AL *** , ***Posee todos los servicios públicos. a 150 mts. de Cacique Lambaré.
Se encuentra ubicado en un área de uso residencial, con existencia de construcciones en general de tipo viviendas de calidad media a media alta. Cuenta con adecuada infraestructura comercial y de servicios en sus inmediaciones.Oficinas 676,56m2 :
El área de oficina desarrollada en 3 niveles, consta en planta baja de un área de recepción , sector de planta libre con oficina formada por mamparas, cocina comedor, baños diferenciados, oficina de expedición, depósitos y baños para el personal.La planta baja se complementa de un área de dormitorio y baño para encargado.
En el primer nivel cuenta con planta libre para oficina conformada con mamparas, baños diferenciados para el personal, archivo de documentos y sector de caja fuerte, oficina de director con baño y sala de reuniones.
El segundo de nivel presenta oficinas , archivos y depósitos.
Cuenta con estructura de hormigón para desarrollo en 3 plantas , con techo de loza en planta alta en un sector de primer nivel y con techo de chapa con cielorraso de yeso en el segundo nivel, pared revocadas y pintadas, aberturas vidriadas con marco de aluminio, piso cerámico y alfombrado de alto trafico, piso de granito natural en acceso en planta baja, baños y cocina azulejado y equipado.Galpón para depósito 500m2
Posee techo de chapas sobre estructura metálica de hierro, sobre pilares y vigas de hormigón, piso de hormigón, portón metálico, cerramiento de paredes revocadas y pintadas.
Mejoras: Vereda de baldosón de cemento 140m2. Acceso al sector de dormitorio cuidador 7.2m2, sistema de prevención de incendio (4 VIE y 1 boca hidrante, extintores, tranformador de 100KVA, circuito cerrado con 17 cámaras y generador 42KVA).",Imponente Edificio Corporativo Cerca De La Munic De Lambare. Ref. #AF8D1 - InfoCasas.com.py,0213382826 Casa central
Terrenos|360 m², Itauguá,Gs. 400.000,"('Ref.:\nB89BC',)","DescripciónLOTES EN ITAUGUA, CERCANOS A RUTA CON TODOS LOS SERVICIOS EN 130 CUOTAS SIN REAJUSTE DESDE GS. 406.000",Itaugua  Lotes En Cuotas. Ref. #B89BC - InfoCasas.com.py,02121379009814270290983999998 Casa central|021-3284900 Y 0983-999998 CIUDAD DEL ESTE |021-3284900 Y 0983-999998 CIUDAD DEL ESTE 
Terrenos|600 m², Lambaré,Gs. 390.000.000,"('Ref.:\nE4418',)",DescripciónVendo terreno a una cuadra y media de la avda. San Isidro y una cuadra y media de la avda. Carretera de López.Medidas: 15 x 40,Vendo Terreno En Lambare. Ref. #E4418 - InfoCasas.com.py,0985954337 Casa central
Terrenos|400 m², Lambaré,Gs. 390.000.000,"('Ref.:\nA6D93',)","DescripciónVendo Terreno en Barrio Kennedy, a una cuadra de avda. Mcal.López y 2 cuadras de Luis Argaña (ex 1ro de marzo).El terreno mide 10 x 40***",Terrno En Barrio Kennedy - Lambare. Ref. #A6D93 - InfoCasas.com.py,021664579 Casa central
Terrenos|420 m², Fernando de la Mora,Gs. 350.000.000,"('Ref.:\ndA984',)","DescripciónEl terreno se encuentra a 5 cuadras de la Avda. Sta. Teresa en el Barrio Itay, en la Ciudad de Fernando de la Mora Zona Norte, lindante a Asunción, cercano al CIT, a pasos de la nueva Avda. Laguna Grande, y Madame Linch zona de alto crecimientoEl terreno consta de una construcción a demolerMedidas del terreno: 12 x 35mts.Sup. Terreno: 420 m2Descripción de la Ubicación. El terreno se encuentra a 5 cuadras de la Avda. Sta. Teresa en el Barrio Itay, en la Ciudad de Fernando de la Mora Zona Norte, lindante a Asunción, cercano al CIT, a pasos de la nueva Avda. Laguna Grande, y Madame Linch zona de alto crecimiento***",Vendo Terreno 420 M2 Barrio Itay Fdo. Zona Norte. Ref. #dA984 - InfoCasas.com.py,021664579 Casa central
